Time, Server1 (%), Server2 (%), Server3 (%), Server4 (%), Server1_LB (MB/s), Server2_LB (MB/s), Server3_LB (MB/s), Server4_LB (MB/s), PCIeChannel1 (MB/s), PCIeChannel2 (MB/s), PCIeChannel3 (MB/s), PCIeChannel4 (MB/s), JBOD1 rate (MB/s),  JBOD2 rate (MB/s), SSD rate (MB/s), JBOD1 (MB), JBOD2 (MB), SSD (MB), Cache (MB)
2.8, 0.02, 0.02, 0.02, 0.02, 0.314392, 0.314392, 1.245428, 0.314392, 1.721608, 1.483096, 4.554389, 0.391417, 0.712098, 0.509237, 0.000000, 110.91, 116.22, 120.83, 1.02
2.9, 0.02, 0.02, 0.02, 0.02, 0.314392, 0.314392, 5.973381, 0.661392, 0.314392, 0.314392, 1.310268, 0.310984, 0.509237, 1.363486, 0.000000, 115.07, 120.64, 125.31, 0.96
3.0, 0.03, 0.02, 0.02, 0.02, 0.314392, 0.314392, 3.112045, 1.523376, 0.314392, 0.664882, 1.300337, 0.314392, 1.591711, 1.591711, 0.000000, 119.36, 124.80, 129.92, 1.34
3.1, 0.03, 0.03, 0.02, 0.02, 0.365397, 0.314392, 4.517669, 1.551096, 0.314392, 0.314392, 3.429835, 0.314392, 0.509237, 1.491051, 0.000000, 123.20, 129.22, 133.89, 2.11
3.2, 0.03, 0.03, 0.03, 0.02, 1.350733, 0.314392, 3.485224, 0.314392, 1.449799, 0.314392, 5.855481, 0.314392, 1.591711, 1.591711, 0.000000, 127.17, 134.08, 137.60, 1.47
3.3, 0.03, 0.03, 0.03, 0.03, 0.314392, 0.314392, 4.223734, 1.124080, 0.775786, 1.508406, 3.039563, 0.314392, 0.557085, 0.509237, 0.000000, 131.58, 137.34, 142.46, 1.28
3.4, 0.03, 0.03, 0.03, 0.03, 0.744003, 0.314392, 4.636651, 0.314392, 0.314392, 0.314392, 4.704189, 0.314392, 1.591711, 1.591711, 0.000000, 135.55, 141.63, 146.50, 1.73
3.5, 0.03, 0.03, 0.03, 0.03, 0.314392, 0.314392, 6.019167, 0.555079, 0.314392, 0.314392, 2.318270, 1.062957, 0.753837, 1.591711, 0.000000, 141.12, 145.41, 150.78, 1.28
3.6, 0.03, 0.03, 0.03, 0.03, 0.314392, 0.314392, 0.314392, 0.314392, 0.314392, 0.312293, 6.131789, 0.314392, 1.516946, 1.050474, 0.000000, 145.86, 149.44, 155.33, 1.92
3.7, 0.03, 0.03, 0.03, 0.03, 0.314392, 0.314392, 3.299689, 0.314392, 2.073412, 0.314392, 1.259148, 0.314392, 0.509237, 0.509237, 0.000000, 150.27, 153.66, 159.74, 1.60
3.8, 0.03, 0.03, 0.03, 0.03, 0.314392, 1.155798, 0.853881, 0.314392, 0.314392, 0.314392, 0.660784, 1.588503, 0.875873, 1.588799, 0.000000, 154.88, 158.40, 162.69, 2.37
3.9, 0.03, 0.03, 0.03, 0.03, 0.314392, 0.314392, 9.389178, 0.314392, 2.249314, 0.314392, 6.075684, 0.314392, 1.393077, 1.050474, 0.000000, 159.17, 162.69, 166.85, 2.43
4.0, 0.03, 0.03, 0.03, 0.03, 0.314392, 0.314392, 4.419128, 0.314392, 1.637995, 0.314392, 1.570986, 1.781153, 0.509237, 0.509237, 0.000000, 163.65, 166.66, 171.33, 1.41
4.1, 0.03, 0.03, 0.03, 0.03, 0.314392, 0.314392, 2.268336, 2.197661, 0.309762, 0.314392, 0.444895, 0.314392, 1.050474, 1.147289, 0.000000, 168.00, 170.37, 176.45, 1.73
4.2, 0.04, 0.03, 0.03, 0.03, 0.314392, 0.314392, 5.518279, 0.314392, 0.314392, 0.511561, 7.094490, 0.314392, 1.591711, 1.591711, 0.000000, 171.97, 174.27, 181.06, 2.37
4.3, 0.04, 0.04, 0.03, 0.03, 0.314392, 0.314392, 1.416547, 0.314392, 0.314392, 0.314392, 0.314392, 1.404755, 1.517672, 1.059351, 0.000000, 177.34, 178.75, 185.02, 2.05
4.4, 0.04, 0.04, 0.04, 0.03, 2.425216, 0.421658, 1.098229, 0.314392, 0.314392, 0.314392, 1.324701, 0.314392, 1.591711, 1.591711, 0.000000, 181.31, 182.59, 189.76, 2.62
4.5, 0.04, 0.04, 0.04, 0.04, 0.314392, 0.314392, 10.812448, 0.314392, 0.314392, 0.314392, 1.353567, 0.314392, 1.050474, 1.050474, 0.000000, 185.47, 187.84, 194.11, 1.60
4.6, 0.04, 0.04, 0.04, 0.04, 0.314392, 0.314392, 7.884906, 1.883979, 0.314392, 0.314392, 1.266620, 2.109216, 0.509237, 0.509237, 0.000000, 189.25, 192.32, 198.27, 2.88
