Time, Server1 (%), Server2 (%), Server3 (%), Server4 (%), Server1_LB (MB/s), Server2_LB (MB/s), Server3_LB (MB/s), Server4_LB (MB/s), PCIeChannel1 (MB/s), PCIeChannel2 (MB/s), PCIeChannel3 (MB/s), PCIeChannel4 (MB/s), JBOD1 rate (MB/s),  JBOD2 rate (MB/s), SSD rate (MB/s), JBOD1 (MB), JBOD2 (MB), SSD (MB), Cache (MB)
2.8, 0.03, 0.03, 0.03, 0.03, 0.174820, 0.173196, 0.219878, 0.069012, 0.069278, 0.064519, 0.626051, 0.065454, 0.252402, 0.223357, 0.001082, 533.82, 540.61, 538.69, 1.02
2.9, 0.03, 0.03, 0.03, 0.03, 0.069278, 0.069278, 0.475506, 0.142887, 0.069278, 0.069278, 0.434323, 0.069278, 0.324742, 0.324742, 0.001082, 555.39, 563.84, 557.31, 0.96
3.0, 0.03, 0.03, 0.03, 0.03, 0.166100, 0.069278, 0.201689, 0.067361, 0.069278, 0.069278, 0.294679, 0.065790, 0.252774, 0.108247, 0.001082, 576.26, 586.56, 578.75, 0.96
3.1, 0.03, 0.03, 0.03, 0.03, 0.069278, 0.109973, 0.542691, 0.064735, 0.069278, 0.069278, 0.616791, 0.069278, 0.183087, 0.296691, 0.001082, 598.46, 607.04, 601.86, 1.28
3.2, 0.03, 0.03, 0.04, 0.03, 0.104459, 0.069278, 0.732387, 0.095681, 0.069278, 0.069278, 0.385593, 0.191654, 0.308532, 0.148438, 0.001082, 620.35, 628.61, 622.08, 1.09
3.3, 0.03, 0.03, 0.04, 0.03, 0.069278, 0.068573, 0.488262, 0.126508, 0.064914, 0.086374, 0.329368, 0.069278, 0.203198, 0.108247, 0.001082, 640.77, 648.58, 643.33, 1.09
3.4, 0.03, 0.03, 0.03, 0.03, 0.069278, 0.064920, 0.581679, 0.069278, 0.069278, 0.138246, 0.207835, 0.069278, 0.238986, 0.324742, 0.001082, 663.04, 670.08, 663.55, 1.22
3.5, 0.03, 0.03, 0.03, 0.03, 0.069278, 0.064953, 0.383898, 0.122810, 0.064619, 0.143608, 0.152412, 0.147613, 0.260578, 0.287365, 0.001082, 686.59, 693.18, 685.63, 1.09
3.6, 0.03, 0.03, 0.04, 0.03, 0.069278, 0.069278, 0.421257, 0.069278, 0.069278, 0.069278, 0.350045, 0.154393, 0.324742, 0.263719, 0.001082, 708.67, 714.56, 708.16, 1.15
3.7, 0.03, 0.03, 0.04, 0.03, 0.069278, 0.069278, 0.447885, 0.069278, 0.069278, 0.069278, 0.131562, 0.069278, 0.324742, 0.275333, 0.001082, 727.55, 734.08, 728.90, 1.60
3.8, 0.03, 0.03, 0.04, 0.03, 0.069278, 0.238015, 0.877045, 0.069278, 0.207835, 0.245038, 0.623197, 0.069278, 0.108247, 0.108247, 0.001082, 747.26, 753.02, 747.52, 1.54
3.9, 0.03, 0.04, 0.04, 0.03, 0.069278, 0.066563, 0.271553, 0.069278, 0.066302, 0.069278, 0.144481, 0.069278, 0.316547, 0.324742, 0.002165, 768.96, 773.57, 769.86, 1.66
4.0, 0.03, 0.03, 0.04, 0.03, 0.069278, 0.069278, 0.167256, 0.069278, 0.069278, 0.069278, 0.189630, 0.069278, 0.324742, 0.324742, 0.001082, 790.59, 795.20, 791.36, 1.41
4.1, 0.03, 0.03, 0.04, 0.03, 0.069278, 0.080453, 0.164194, 0.069278, 0.170322, 0.069278, 0.173677, 0.208110, 0.203580, 0.108247, 0.001082, 812.29, 815.62, 810.05, 1.92
4.2, 0.04, 0.03, 0.04, 0.03, 0.069278, 0.119543, 0.168886, 0.166601, 0.069278, 0.069278, 0.956582, 0.064289, 0.320586, 0.239396, 0.001082, 831.49, 835.78, 832.70, 1.34
4.3, 0.04, 0.03, 0.04, 0.03, 0.069278, 0.130927, 0.733473, 0.069278, 0.069278, 0.069278, 0.144439, 0.069278, 0.323930, 0.324742, 0.001082, 852.29, 857.86, 852.74, 1.60
4.4, 0.04, 0.03, 0.04, 0.03, 0.242474, 0.069278, 0.143859, 0.069278, 0.069278, 0.069278, 0.207835, 0.069278, 0.133350, 0.216495, 0.001082, 873.22, 877.12, 874.37, 1.28
4.5, 0.04, 0.03, 0.04, 0.04, 0.069278, 0.069278, 0.630942, 0.111008, 0.066033, 0.069278, 0.891804, 0.069278, 0.216495, 0.236393, 0.001082, 893.18, 897.47, 894.59, 1.47
4.6, 0.04, 0.03, 0.04, 0.03, 0.069278, 0.069278, 0.178157, 0.069278, 0.280361, 0.069278, 0.583673, 0.069278, 0.298071, 0.324742, 0.001082, 914.43, 917.50, 915.58, 1.86
4.7, 0.04, 0.04, 0.04, 0.03, 0.069278, 0.175902, 1.086611, 0.068654, 0.069278, 0.064539, 0.128660, 0.194181, 0.293234, 0.320442, 0.001082, 936.06, 937.66, 937.34, 1.54
4.8, 0.04, 0.04, 0.04, 0.03, 0.241557, 0.236118, 1.029069, 0.069278, 0.167922, 0.068108, 1.004197, 0.069278, 0.216495, 0.324742, 0.001082, 955.58, 958.53, 959.49, 1.73
4.9, 0.04, 0.04, 0.04, 0.04, 0.069278, 0.069278, 0.227629, 0.069278, 0.064544, 0.069278, 0.227629, 0.069278, 0.315155, 0.216495, 0.001082, 975.30, 978.82, 979.39, 1.79
5.0, 0.04, 0.04, 0.04, 0.04, 0.069278, 0.064533, 0.128660, 0.069278, 0.066328, 0.150167, 0.151720, 0.093279, 0.108247, 0.107880, 0.001082, 995.46, 997.50, 1000.83, 1.86
5.1, 0.04, 0.04, 0.04, 0.04, 0.067936, 0.068800, 1.215274, 0.067830, 0.069278, 0.068257, 0.844870, 0.096340, 0.324742, 0.179503, 0.001082, 1015.68, 1019.71, 1022.78, 2.18
