Time, Server1 (%), Server2 (%), Server3 (%), Server4 (%), Server1_LB (MB/s), Server2_LB (MB/s), Server3_LB (MB/s), Server4_LB (MB/s), PCIeChannel1 (MB/s), PCIeChannel2 (MB/s), PCIeChannel3 (MB/s), PCIeChannel4 (MB/s), JBOD1 rate (MB/s),  JBOD2 rate (MB/s), SSD rate (MB/s), JBOD1 (MB), JBOD2 (MB), SSD (MB), Cache (MB)
0.1, 0.00, 0.00, 0.00, 0.00, 0.071918, 0.037278, 0.052602, 0.037278, 0.037278, 0.037278, 0.042775, 0.037278, 0.071907, 0.130371, 0.000000, 0.00, 0.00, 0.00, 0.00
0.2, 0.00, 0.00, 0.00, 0.00, 0.044669, 0.054734, 0.058827, 0.037278, 0.047309, 0.044466, 0.054734, 0.037278, 0.130371, 0.076247, 0.000000, 9.28, 9.60, 9.98, 0.06
0.3, 0.00, 0.00, 0.00, 0.00, 0.032334, 0.068027, 0.135472, 0.034080, 0.093537, 0.044669, 0.099972, 0.034390, 0.206451, 0.227244, 0.000000, 23.04, 24.64, 23.62, 0.13
0.4, 0.00, 0.00, 0.00, 0.00, 0.106396, 0.037278, 0.166938, 0.037278, 0.037278, 0.095652, 0.190371, 0.037278, 0.202060, 0.080244, 0.000000, 42.05, 44.74, 42.88, 0.13
0.5, 0.00, 0.00, 0.00, 0.00, 0.142678, 0.037278, 0.087529, 0.036862, 0.032401, 0.032644, 0.037278, 0.037278, 0.092443, 0.141856, 0.000000, 59.97, 62.53, 63.55, 0.06
0.6, 0.00, 0.00, 0.00, 0.00, 0.034279, 0.084846, 0.098715, 0.036348, 0.037278, 0.097777, 0.125889, 0.037278, 0.139159, 0.291260, 0.000000, 76.42, 79.62, 83.39, 0.19
0.7, 0.00, 0.00, 0.00, 0.00, 0.037278, 0.037278, 0.106557, 0.036077, 0.139266, 0.107639, 0.105931, 0.037278, 0.091925, 0.076247, 0.000000, 95.36, 98.50, 102.02, 0.26
0.8, 0.01, 0.00, 0.00, 0.00, 0.129511, 0.032472, 0.241801, 0.037278, 0.037278, 0.137883, 0.245113, 0.037278, 0.090457, 0.076247, 0.000000, 110.91, 116.67, 120.58, 0.26
0.9, 0.01, 0.01, 0.00, 0.00, 0.036284, 0.037278, 0.226926, 0.037278, 0.077356, 0.037278, 0.160679, 0.037278, 0.145783, 0.073541, 0.000000, 124.16, 131.26, 135.23, 0.45
1.0, 0.01, 0.01, 0.00, 0.00, 0.072561, 0.037278, 0.246448, 0.037278, 0.172512, 0.032591, 0.259640, 0.037278, 0.073506, 0.280190, 0.000000, 142.78, 147.52, 152.26, 0.51
1.1, 0.01, 0.01, 0.00, 0.00, 0.037278, 0.037278, 0.100313, 0.037278, 0.037278, 0.037278, 0.037278, 0.033205, 0.127357, 0.208186, 0.000000, 161.92, 165.70, 169.73, 0.32
1.2, 0.02, 0.01, 0.00, 0.00, 0.058088, 0.037278, 0.058387, 0.037278, 0.190790, 0.037278, 0.130105, 0.037278, 0.240989, 0.292742, 0.000000, 179.52, 181.89, 187.90, 0.51
1.3, 0.01, 0.02, 0.00, 0.00, 0.034948, 0.037278, 0.209779, 0.037278, 0.200196, 0.142097, 0.037278, 0.037278, 0.170233, 0.243330, 0.000000, 196.67, 200.19, 206.02, 0.26
1.4, 0.02, 0.01, 0.00, 0.00, 0.037278, 0.072415, 0.341876, 0.037278, 0.037278, 0.037278, 0.078306, 0.037278, 0.170669, 0.162000, 0.000000, 213.82, 218.88, 224.00, 0.64
1.5, 0.02, 0.02, 0.00, 0.00, 0.037278, 0.037278, 0.191453, 0.037278, 0.037278, 0.037278, 0.140811, 0.037278, 0.076247, 0.149210, 0.000000, 233.02, 237.12, 244.67, 0.19
1.6, 0.02, 0.02, 0.00, 0.00, 0.117665, 0.037278, 0.037278, 0.037278, 0.037278, 0.037278, 0.037278, 0.032531, 0.224620, 0.184495, 0.000000, 250.75, 255.36, 261.76, 0.32
1.7, 0.02, 0.02, 0.00, 0.00, 0.037278, 0.082845, 0.037278, 0.037278, 0.037278, 0.035410, 0.135208, 0.037278, 0.176984, 0.273071, 0.000000, 268.03, 272.64, 279.04, 0.58
1.8, 0.02, 0.02, 0.00, 0.00, 0.037278, 0.089567, 0.082742, 0.035621, 0.056763, 0.037278, 0.141196, 0.037278, 0.123684, 0.229959, 0.000000, 287.68, 291.78, 298.24, 0.58
1.9, 0.02, 0.02, 0.00, 0.00, 0.066218, 0.104993, 0.035686, 0.037278, 0.234120, 0.167543, 0.364116, 0.037278, 0.229244, 0.271725, 0.000000, 306.30, 311.94, 317.38, 0.64
2.0, 0.02, 0.02, 0.00, 0.00, 0.037278, 0.037278, 0.236885, 0.037278, 0.277978, 0.037278, 0.468378, 0.037278, 0.076247, 0.076247, 0.000000, 323.90, 330.62, 332.86, 1.02
2.1, 0.02, 0.02, 0.00, 0.00, 0.037278, 0.037278, 0.522227, 0.037278, 0.074378, 0.076622, 0.423931, 0.037278, 0.125141, 0.292742, 0.000000, 341.63, 347.14, 350.59, 0.64
2.2, 0.02, 0.02, 0.00, 0.00, 0.037278, 0.037278, 0.102219, 0.037278, 0.051573, 0.032510, 0.220790, 0.033185, 0.076247, 0.148883, 0.000000, 360.19, 365.89, 366.40, 0.70
2.3, 0.02, 0.03, 0.00, 0.00, 0.037278, 0.037278, 0.397311, 0.037278, 0.037278, 0.037278, 0.198631, 0.037278, 0.076247, 0.074243, 0.000000, 376.70, 383.42, 384.45, 0.26
2.4, 0.03, 0.03, 0.00, 0.00, 0.037278, 0.327091, 0.037278, 0.037278, 0.053677, 0.037278, 0.293383, 0.037278, 0.213820, 0.104244, 0.000000, 394.30, 403.46, 404.16, 0.77
2.5, 0.03, 0.03, 0.00, 0.00, 0.037278, 0.037278, 0.044702, 0.037278, 0.298908, 0.037278, 0.283235, 0.037278, 0.254995, 0.245655, 0.000000, 411.20, 421.38, 421.25, 0.96
2.6, 0.03, 0.03, 0.00, 0.00, 0.037278, 0.079390, 0.252691, 0.037278, 0.037278, 0.124703, 0.373776, 0.037278, 0.274022, 0.130371, 0.000000, 429.95, 441.66, 440.19, 0.64
2.7, 0.03, 0.03, 0.00, 0.00, 0.037278, 0.037278, 0.479156, 0.037278, 0.037278, 0.037278, 0.292994, 0.037278, 0.184495, 0.098821, 0.000000, 447.68, 457.86, 457.79, 0.96
2.8, 0.03, 0.03, 0.00, 0.00, 0.231851, 0.037278, 0.037278, 0.037278, 0.037278, 0.037278, 0.037078, 0.037278, 0.076247, 0.265723, 0.000000, 464.77, 474.69, 473.86, 0.83
2.9, 0.03, 0.03, 0.00, 0.00, 0.032364, 0.035875, 0.660784, 0.037278, 0.345322, 0.037278, 0.346186, 0.037278, 0.291119, 0.238619, 0.000000, 482.05, 491.71, 491.71, 0.77
3.0, 0.03, 0.03, 0.00, 0.00, 0.267314, 0.037278, 0.037278, 0.037278, 0.037278, 0.305608, 0.647719, 0.037278, 0.288027, 0.108617, 0.000000, 500.93, 507.84, 508.10, 1.54
3.1, 0.03, 0.03, 0.00, 0.00, 0.037278, 0.037278, 0.037278, 0.037278, 0.037278, 0.037278, 0.236600, 0.037278, 0.076247, 0.270858, 0.000000, 518.98, 525.18, 525.12, 1.60
3.2, 0.04, 0.03, 0.00, 0.00, 0.037278, 0.133711, 0.037278, 0.037278, 0.175741, 0.037278, 0.357032, 0.036038, 0.257576, 0.184495, 0.000000, 536.32, 543.87, 541.57, 0.58
3.3, 0.04, 0.03, 0.00, 0.00, 0.037278, 0.235105, 0.185843, 0.037278, 0.309517, 0.161602, 0.625110, 0.037278, 0.292742, 0.240330, 0.000000, 554.50, 562.88, 556.86, 1.09
